LCD,PLD,Surface area (m2/g),Porosity,CO-Henry  (mol/kg/Pa),Halogen%,Ametal%,Metalloid,C,H,O,Metal,N,TDU,O to Metal ratio,electronegative atoms to total atoms ratio,0.1 bar-CO (mol/kg)
8.07729,5.36514,3511.67,0.72,2.15045E-06,0,0,0,37.5,0,0,6.25,56.25,385,0,0.526508227,0.021436622
8.11263,5.64009,4051.63,0.7392,2.06537E-06,0,0,0,37.5,0,0,6.25,56.25,385,0,0.559223301,0.020522328
8.13134,5.54983,3933.67,0.7388,2.15841E-06,0,0,0,37.5,0,0,6.25,56.25,385,0,0.526508227,0.021702306
8.16514,5.60091,3894.19,0.7394,2.20872E-06,0,0,0,37.5,0,0,6.25,56.25,385,0,0.526508227,0.022255538
5.61731,4.74798,1194.41,0.5534,2.23212E-06,0,0,0,32,36,8,4,20,225,3.657142857,0.268263473,0.022581204
18.4936,4.06846,1660.99,0.7322,3.89844E-06,43.37349398,0,0,36.14457831,9.036144578,1.807228916,2.409638554,7.228915663,421,1.263157895,0.509516837,0.038997842
19.69299,7.98654,4876.5,0.826,3.0923E-06,0,0,0,51.06382979,28.72340426,3.191489362,4.255319149,12.76595745,553,1.371428571,0.152477764,0.030992144
14.73899,5.12647,2796.6,0.7088,3.54442E-06,0,0,0,43.90243902,32.92682927,3.658536585,4.87804878,14.63414634,361,1.371428571,0.17366136,0.035604531
11.98539,10.18096,4102.78,0.77866,5.66278E-06,0,0,0,48.97959184,30.6122449,16.32653061,2.040816327,2.040816327,595,13.71428571,0.183050847,0.056603124
13.3117,8.62623,3760.71,0.7246,3.78858E-06,0,0,0,47.88732394,36.61971831,8.450704225,1.408450704,5.633802817,1009,10.66666667,0.13864818,0.037574543
13.14316,8.49712,3638.73,0.7212,3.94513E-06,0,0,0,47.88732394,36.61971831,8.450704225,1.408450704,5.633802817,1009,10.66666667,0.13864818,0.039534668
18.63687,3.90699,2868.16,0.7214,3.63078E-06,0.689655172,0,0,44.13793103,22.06896552,2.75862069,2.75862069,27.5862069,1153,1.882352941,0.309810671,0.03642063
8.39634,6.80286,2155.37,0.6496,4.79433E-06,1.090909091,0.363636364,0,44,34.90909091,9.818181818,1.090909091,8.727272727,1169,16,0.196096232,0.047430023
8.30709,6.8904,2129.09,0.6498,4.81494E-06,1.090909091,0.363636364,0,44,34.90909091,9.818181818,0,8.727272727,1169,16,0.196096232,0.047510264
8.05568,3.85909,546.574,0.491,2.50289E-06,0.857142857,0.285714286,0,34.57142857,27.42857143,24,6,6.857142857,1169,7.859649123,0.316803425,0.024333142
8.82584,6.80117,2423.76,0.6668,4.51237E-06,0,0,0,44.94382022,35.95505618,8.988764045,1.123595506,8.988764045,1153,14.22222222,0.179523142,0.045110609
8.33004,6.47185,2359.47,0.661,4.60899E-06,0,0,0,44.94382022,35.95505618,8.988764045,0,8.988764045,1153,14.22222222,0.179523142,0.045664925
8.09188,6.36998,2317.41,0.6566,4.64205E-06,0,0,0,44.94382022,35.95505618,8.988764045,1.123595506,8.988764045,1153,14.22222222,0.179523142,0.046038923
5.54889,5.25047,628.668,0.5312,2.26107E-06,0,0,0,40,49.09090909,7.272727273,1.818181818,1.818181818,545,7.314285714,0.090754396,0.022546829
18.71247,7.75585,4222.32,0.8076,3.33538E-06,0,0,0,60,25.38461538,12.30769231,2.307692308,0,493,8.533333333,0.119626168,0.033547015
6.20221,5.02673,2051.65,0.63816,7.83027E-06,0,0,0,45.97701149,32.18390805,10.34482759,2.298850575,9.195402299,417,7.578947368,0.19020979,0.077668098
6.55516,5.27399,1959.6,0.6337,7.49995E-06,0,0,0,45.97701149,32.18390805,10.34482759,2.298850575,9.195402299,417,7.578947368,0.19020979,0.074534903
4.39053,3.85775,255.886,0.5092,2.65161E-06,0,5.882352941,0,17.64705882,8.823529412,58.82352941,8.823529412,0,217,12.8,0.586080586,0.026547643
4.92609,4.59373,449.993,0.42,5.5931E-06,0,0,0,51.06382979,34.04255319,8.510638298,2.127659574,4.255319149,769,7.111111111,0.127320955,0.053586542
5.27797,4.04185,1042.87,0.59626,3.49479E-06,0,0,0,20,13.33333333,26.66666667,6.666666667,33.33333333,193,7.529411765,0.560311284,0.034780712
17.39105,9.80191,1438.07,0.6572,6.3689E-06,0,0,0,47.54098361,42.62295082,8.196721311,1.639344262,0,3073,9.696969697,0.081925243,0.062588227
17.54491,10.00849,1532.52,0.671,6.72032E-06,0,0,0,46.66666667,43.33333333,8.333333333,1.666666667,0,2881,9.696969697,0.083289953,0.065064131
8.00881,3.79594,932.564,0.582,1.81217E-06,0,0,0,38.70967742,0,51.61290323,9.677419355,0,769,10.34343434,0.514572864,0.018023283
9.45259,4.11606,1284,0.63086,2.33412E-06,0,0,0,55.81395349,0,37.20930233,6.976744186,0,1537,10.34343434,0.371283539,0.023238372
5.25312,4.62411,581.927,0.4348,3.55751E-06,0,0,0,45.65217391,28.26086957,8.695652174,2.173913043,15.2173913,697,7.111111111,0.233421751,0.034739757
7.33941,5.89987,703.164,0.50038,1.65211E-06,0,0,0,47.05882353,31.37254902,0,1.960784314,19.60784314,433,0,0.191489362,0.016735591
7.07895,5.43293,606.348,0.4656,1.94352E-06,0,0,0,45.61403509,35.0877193,0,1.754385965,17.54385965,577,0,0.171919771,0.019484863
6.9387,5.51917,1396.46,0.5618,6.44464E-06,0,0,0,53.52112676,28.16901408,11.26760563,1.408450704,5.633802817,1009,13.71428571,0.168618267,0.063686902
9.11169,7.35825,1823.58,0.6366,2.84567E-06,0,0,0,40.24390244,45.12195122,9.756097561,2.43902439,2.43902439,465,7.314285714,0.11878248,0.028574063
7.02744,5.38791,660.538,0.4574,1.64521E-06,0,0,0,47.05882353,31.37254902,0,1.960784314,19.60784314,577,0,0.191693291,0.016381384
7.08217,5.70931,670.058,0.4798,1.83748E-06,0,0,0,47.05882353,31.37254902,0,1.960784314,19.60784314,1153,0,0.192,0.018314681
6.82532,5.20998,612.785,0.469,1.66718E-06,0,0,0,47.05882353,31.37254902,0,1.960784314,19.60784314,577,0,0.191693291,0.016466889
7.07901,5.43055,578.494,0.47396,1.63135E-06,0,0,0,47.05882353,31.37254902,0,1.960784314,19.60784314,1729,0,0.192102455,0.01639656
7.01349,5.55881,648.971,0.4712,1.91138E-06,0,0,0,47.05882353,31.37254902,0,1.960784314,19.60784314,1153,0,0.192,0.018991501
10.88811,8.55613,3162.26,0.6958,6.0114E-06,0,0,0,47.05882353,31.37254902,0,1.960784314,19.60784314,577,0,0.191693291,0.060064335
10.81747,8.62628,3351.88,0.7066,5.80031E-06,0,0,0,47.05882353,31.37254902,0,1.960784314,19.60784314,577,0,0.191693291,0.05774127
6.40626,3.8396,1013.26,0.59228,8.87311E-06,0,0,0,35.29411765,23.52941176,17.64705882,5.882352941,17.64705882,257,5.485714286,0.331606218,0.087744975
